kernel,cpu_time_total_us,self_cpu_time_total_us,cpu_time_avg_us,calls_cpu
aten::empty,35269.77300009293,35269.77300009293,25.55780652180647,1380
aten::random_,1791.3309999999983,1791.3309999999983,895.6654999999992,2
aten::item,3526.8719999754794,2183.7010001586386,4.110573426544848,858
aten::_local_scalar_dense,1343.1709998168408,1343.1709998168408,1.5654673657538938,858
enumerate(DataLoader)#_SingleProcessDataLoaderIter.__next__,30418.829999994647,17647.93199992251,3379.869999999405,9
aten::randperm,1421.5950000035773,1192.0409999969015,355.3987500008943,4
aten::scalar_tensor,388.21200000250974,388.21200000250974,7.7642400000501945,50
aten::resize_,299.73200001272926,299.73200001272926,2.77529629641416,108
aten::resolve_conj,1390.0020000563418,1390.0020000563418,0.5136740576704885,2706
aten::resolve_neg,0.3490000071542454,0.3490000071542454,0.1745000035771227,2
aten::select,2946.4840000351287,2531.0990000676684,3.610887254945011,816
aten::as_strided,10396.135999877926,10396.135999877926,2.7358252631257702,3800
aten::stack,8970.237000001329,6107.849999983719,373.7598750000554,24
aten::cat,2288.777000002443,2288.777000002443,95.36570833343512,24
aten::view,20722.154000196042,20722.154000196042,9.38503351458154,2208
aten::unsqueeze,532.7210000022169,398.547000050552,2.0809414062586598,256
aten::to,793868.8120001378,14661.278000640763,131.2613776455254,6048
Optimizer.zero_grad#Adam.zero_grad,5988.434999985788,5988.434999985788,374.27718749911173,16
aten::embedding,18924.498999990254,6013.272000002893,1182.7811874993909,16
aten::reshape,331966.0590001754,9873.28099997354,213.89565657227794,1552
aten::index_select,12795.300999994979,12547.311999991238,799.7063124996862,16
aten::slice,517.4719999986264,465.01199998454103,16.170999999957075,32
aten::add,145124.42399997986,104055.3809999139,1395.4271538459602,104
aten::layer_norm,136080.39300001098,833.545999984417,1308.465317307798,104
aten::native_layer_norm,135246.84700002658,124006.5900000098,1300.4504519233326,104
aten::dropout,289125.79400001443,4447.803000054169,2581.480303571557,112
aten::empty_like,28737.23099998095,4083.5339999191638,40.361279494355266,712
aten::empty_strided,44179.22099971742,44179.22099971742,7.107339285668826,6216
aten::bernoulli_,156188.28400000223,150613.34099998712,1394.5382500000198,112
aten::div_,40496.54200003478,35049.652000012444,361.5762678574534,112
aten::_to_copy,779207.533999497,52033.868999577564,132.33823607328412,5888
aten::copy_,1105944.511000058,1105944.511000058,167.77070858617384,6592
aten::mul,322358.2849999412,318193.6999998832,774.8997235575509,416
aten::eq,198.33800000423798,198.33800000423798,24.792250000529748,8
aten::all,84864.93899997126,84111.53799997702,1515.445339285201,56
aten::fill_,165515.9309999771,165515.9309999771,340.56775925921215,486
aten::is_nonzero,93.50999998635962,30.796999988378957,11.688749998294952,8
aten::linear,52678030.98999995,22547.525000145484,86641.49833881571,608
aten::t,34863.89799980819,15518.749999600594,22.936774999873812,1520
aten::transpose,29384.815000283954,20458.075000295023,13.40548129574998,2192
aten::addmm,26196254.270999894,26084441.75299977,86171.88904934176,304
aten::expand,4584.875999969401,3746.097000017282,9.243701612841535,496
aten::scaled_dot_product_attention,1119534.2409999808,7123.617999965034,23323.630020832934,48
aten::_scaled_dot_product_attention_math,1112410.6230000157,4495.422999893839,23175.22131250033,48
aten::matmul,421321.2920000315,3727.0859999945387,4388.763458333661,96
aten::clone,324673.7030001425,4479.50100023672,845.5044348962043,384
aten::_unsafe_view,4204.943000017898,4204.943000017898,9.733664351893283,432
aten::bmm,579274.6570000346,579011.1069999924,2011.3703368056756,288
aten::_safe_softmax,257863.80799997668,3209.4179999830085,5372.1626666661805,48
aten::softmax,96724.54699998151,2149.546999959275,2015.0947291662815,48
aten::_softmax,94575.00000002224,94575.00000002224,1970.3125000004632,48
aten::isneginf,36793.1680000255,36793.1680000255,766.5243333338645,48
aten::where,40769.595000014,40769.595000014,849.3665625002917,48
aten::contiguous,14523.764000022842,205.40099996025674,302.57841666714256,48
aten::gelu,118107.78499996499,118107.78499996499,2460.578854165937,48
aten::relu,418.8149999980815,184.23999999510124,52.351874999760184,8
aten::clamp_min,234.57500000298023,234.57500000298023,29.32187500037253,8
aten::cross_entropy_loss,3452.152000011876,1665.3810000037774,431.5190000014845,8
aten::log_softmax,312.8940000133589,85.71000000974163,39.11175000166986,8
aten::_log_softmax,218.66199999442324,218.66199999442324,27.332749999302905,8
aten::nll_loss_nd,1473.87699999474,604.4699999899603,184.2346249993425,8
aten::nll_loss,869.4070000047795,752.0260000019334,108.67587500059744,8
aten::nll_loss_forward,117.38100000284612,117.38100000284612,14.672625000355765,8
aten::ones_like,302.59200000343844,48.049000008031726,37.824000000429805,8
autograd::engine::evaluate_function: NllLossBackward0,3263.716000000015,91.45200001681224,407.96450000000186,8
NllLossBackward0,3172.2639999832027,1414.4179999837652,396.53299999790033,8
aten::nll_loss_backward,1757.8459999994375,1750.8970000068657,219.73074999992969,8
aten::zero_,163971.03199999267,812.4909999808297,465.82679545452464,352
autograd::engine::evaluate_function: LogSoftmaxBackward0,1883.509000011254,40.2860000138171,235.43862500140676,8
LogSoftmaxBackward0,1843.222999997437,64.63500001234934,230.40287499967963,8
aten::_log_softmax_backward_data,1778.5879999850877,1778.5879999850877,222.32349999813596,8
autograd::engine::evaluate_function: ToCopyBackward0,418063.0880001611,12882.266999963671,414.7451269842868,1008
ToCopyBackward0,296841.68500016304,5139.774000132456,294.48579861127286,1008
autograd::engine::evaluate_function: AddmmBackward0,51982034.841000095,16213.774000234436,170993.53566118452,304
AddmmBackward0,51788015.776999936,24861.45800001314,170355.31505592083,304
aten::mm,51737828.596000046,51737109.404000185,85095.1128223685,608
aten::sum,177810.24499993166,176193.57799995458,569.9046314100374,312
autograd::engine::evaluate_function: TBackward0,8708.250999982003,1867.9920000471175,28.645562499940798,304
TBackward0,6840.258999934886,2221.8249999666587,22.50085197347002,304
autograd::engine::evaluate_function: torch::autograd::AccumulateGrad,13124.458000080194,3247.376999993343,15.77458894240408,832
torch::autograd::AccumulateGrad,9877.081000086851,4507.4310000767,11.87149158664285,832
aten::detach,5369.650000010151,1866.1390000330284,6.453906250012201,832
detach,3503.510999977123,3503.510999977123,4.21095072112635,832
autograd::engine::evaluate_function: MulBackward0,71693.91000000853,1364.120999979321,640.1241964286476,112
MulBackward0,70329.78900002921,1008.6700000311248,627.944544643118,112
autograd::engine::evaluate_function: ReluBackward0,2746.5669999979436,40.89799997443333,343.32087499974295,8
ReluBackward0,2705.6690000235103,52.54700002120808,338.2086250029388,8
aten::threshold_backward,2653.1220000023022,2653.1220000023022,331.6402500002878,8
autograd::engine::evaluate_function: SelectBackward0,4953.07899999572,63.876999992411584,619.134874999465,8
SelectBackward0,4889.202000003308,43.5500000002794,611.1502500004135,8
aten::select_backward,4845.652000003029,119.7020000256598,605.7065000003786,8
aten::zeros,105508.59599998081,1818.6049999911338,3297.1436249994003,32
autograd::engine::evaluate_function: SliceBackward0,8874.898999982048,91.89499998046085,1109.362374997756,8
SliceBackward0,8783.004000001587,51.28699999023229,1097.8755000001984,8
aten::slice_backward,8731.717000011355,1668.0400000289083,1091.4646250014193,8
autograd::engine::evaluate_function: NativeLayerNormBackward0,140149.60300003272,3407.838000061922,1347.5923365387762,104
NativeLayerNormBackward0,136741.7649999708,1737.0209999200888,1314.8246634612576,104
aten::native_layer_norm_backward,135004.7440000507,133098.7490000925,1298.1225384620261,104
autograd::engine::evaluate_function: AddBackward0,47248.438000013586,1552.8500000010245,454.3119038462845,104
AddBackward0,253.5090000317432,253.5090000317432,2.4375865387667615,104
autograd::engine::evaluate_function: ViewBackward0,84553.01300015813,4000.677999937907,103.61888848058594,816
ViewBackward0,80552.33500022022,3821.893000027165,98.71609681399536,816
autograd::engine::evaluate_function: GeluBackward0,229101.0520000616,2041.7600000277162,4772.938583334617,48
GeluBackward0,227059.2920000339,622.8740000389516,4730.4019166673725,48
aten::gelu_backward,226436.41799999494,226436.41799999494,4717.425374999894,48
aten::add_,223837.32399983052,205838.90999979991,120.60200646542593,1856
autograd::engine::evaluate_function: CloneBackward0,872.8880000887439,722.8500001262873,4.546291667128874,192
CloneBackward0,150.03799996245652,150.03799996245652,0.7814479164711278,192
autograd::engine::evaluate_function: TransposeBackward0,4881.6370000094175,1164.6419999729842,20.340154166705908,240
TransposeBackward0,3716.9950000364333,883.7809999976307,15.487479166818472,240
autograd::engine::evaluate_function: UnsafeViewBackward0,37656.698999973945,1613.0540000442415,156.90291249989144,240
UnsafeViewBackward0,36043.644999929704,1570.0669999681413,150.18185416637377,240
autograd::engine::evaluate_function: BmmBackward0,389195.60100003984,2150.4270000495017,4054.120843750415,96
BmmBackward0,387045.17399999034,2731.9939999962226,4031.720562499899,96
autograd::engine::evaluate_function: ExpandBackward0,917.8050000369549,715.6070000007749,4.780234375192474,192
ExpandBackward0,202.19800003618002,202.19800003618002,1.053114583521771,192
autograd::engine::evaluate_function: SafeSoftmaxBackward0,42158.50100001972,646.0730000529438,878.3021041670776,48
SafeSoftmaxBackward0,41512.42799996678,920.6609999444336,864.8422499993079,48
aten::_softmax_backward_data,40591.767000022344,40591.767000022344,845.6618125004655,48
autograd::engine::evaluate_function: MulBackward1,61286.31900006812,1090.962000111118,638.3991562507096,96
MulBackward1,60195.356999957,537.3769999351352,627.0349687495521,96
aten::_reshape_alias,320.2080000061542,320.2080000061542,6.671000000128212,48
autograd::engine::evaluate_function: EmbeddingBackward0,106375.8279999718,381.7789999842644,6648.489249998238,16
EmbeddingBackward0,105994.04899998754,122.14699998311698,6624.628062499221,16
aten::embedding_backward,105871.90200000443,86.79999999329448,6616.993875000277,16
aten::embedding_dense_backward,105785.10200001113,7424.896999998018,6611.568875000696,16
Optimizer.step#Adam.step,2111228.8489999995,95462.58500016853,263903.60612499993,8
aten::lift_fresh,21.37800000049174,21.37800000049174,0.20555769231242055,104
aten::detach_,222.54299999959767,159.8090000115335,2.13983653845767,104
detach_,62.73399998806417,62.73399998806417,0.6032115383467709,104
aten::zeros_like,67135.98099998571,548.9119999557734,322.7691394230082,208
aten::lerp_,212467.6960001681,212467.6960001681,255.36982692327896,832
aten::mul_,116520.45599991642,108108.91199993901,140.04862499989954,832
aten::addcmul_,190444.5859999936,190444.5859999936,228.89974278845386,832
aten::sqrt,545172.7640000544,545172.7640000544,655.255725961604,832
aten::div,266725.7990000006,256486.47600002214,320.58389302884683,832
aten::addcdiv_,497918.9789999295,497918.9789999295,598.4603112979922,832
