epoch,batch_idx,memory_cpu_mb,loss
0,0,1927.42578125,0.692659318447113
0,1,2166.5625,0.8226474523544312
0,2,2414.5078125,0.6959642171859741
0,3,2502.8359375,0.748672366142273
0,4,2502.88671875,0.7011315822601318
0,5,2502.84375,0.688421905040741
0,6,2507.40625,0.6865427494049072
0,7,2507.34765625,0.6877360939979553
0,8,2507.3515625,0.6710430979728699
0,9,2507.35546875,0.674056351184845
0,10,2507.35546875,0.6629432439804077
0,11,2516.3046875,0.7331222295761108
0,12,2516.35546875,0.6821392178535461
0,13,2519.35546875,0.7296305894851685
0,14,2519.35546875,0.7391015291213989
0,15,2493.23046875,0.6676661372184753
