epoch,batch_idx,memory_cpu_mb,memory_gpu_mb,loss
0,0,1095.7890625,788.751953125,0.6844673156738281
0,1,1096.1640625,788.751953125,0.7084286212921143
0,2,1105.2890625,788.751953125,0.7516028881072998
0,3,1105.2890625,788.751953125,0.6820687651634216
0,4,1105.2890625,788.751953125,0.6856068968772888
0,5,1105.2890625,788.751953125,0.6406176090240479
0,6,1105.2890625,788.751953125,0.7954111695289612
0,7,1105.2890625,788.751953125,0.7157171964645386
0,8,1105.2890625,788.751953125,0.6499705910682678
0,9,1105.2890625,788.751953125,0.6748740673065186
0,10,1105.2890625,788.751953125,0.6962200403213501
0,11,1105.2890625,788.751953125,0.7090739011764526
0,12,1105.2890625,788.751953125,0.6939290761947632
0,13,1105.2890625,788.751953125,0.6809743046760559
0,14,1105.2890625,788.751953125,0.717231035232544
0,15,1105.2890625,788.751953125,0.766538143157959
