kernel,cpu_time_total_us,self_cpu_time_total_us,cpu_time_avg_us,calls_cpu
ProfilerStep*,39292794.281,50847.971000015736,19646397.1405,2
aten::empty,4465.23599994188,4465.23599994188,10.506437646922071,425
aten::random_,1956.7160000000003,1956.7160000000003,978.3580000000002,2
aten::item,1082.1789999242865,683.3219999424346,5.010087962612437,216
aten::_local_scalar_dense,398.8569999818519,398.8569999818519,1.8465601851011664,216
enumerate(DataLoader)#_SingleProcessDataLoaderIter.__next__,28784.441999999162,9577.570999986307,9594.81399999972,3
aten::randperm,1533.5040000000008,1275.5690000000013,766.7520000000004,2
aten::scalar_tensor,133.6949999922963,133.6949999922963,10.284230768638176,13
aten::resize_,91.75499998617124,91.75499998617124,3.2769642852204015,28
aten::resolve_conj,396.146999962657,396.146999962657,0.5851506646420339,677
aten::resolve_neg,0.3040000000000873,0.3040000000000873,0.3040000000000873,1
aten::select,1155.6560000261852,989.7589999958582,3.852186666753951,300
aten::as_strided,2824.1959999888168,2824.1959999888168,2.619847866408921,1078
aten::stack,16825.830999998754,13718.202999986846,1869.5367777776394,9
aten::cat,2803.765000000505,2803.765000000505,311.52944444450054,9
aten::view,5852.985000055556,5852.985000055556,10.56495487374649,554
aten::unsqueeze,279.6260000095208,219.36100001003797,2.9127708334325084,96
aten::to,7927897.858000088,4047.2010000877926,4986.099281761061,1590
Optimizer.zero_grad#Adam.zero_grad,683.8890000013125,683.8890000013125,341.94450000065626,2
aten::embedding,8799152.021,23885.970000004396,2199788.00525,4
aten::reshape,103999.34199998529,2732.180999925389,268.03954123707547,388
aten::index_select,8775216.965999998,8775134.571999991,2193804.2414999995,4
aten::slice,152.6850000023842,136.8690000027418,19.085625000298023,8
aten::add,54484.59799999744,41261.59899999574,2095.561461538363,26
aten::layer_norm,88738.64900000021,207.18199999257922,3413.0249615384696,26
aten::native_layer_norm,88531.46700000763,86685.05300002173,3405.0564230772166,26
aten::dropout,144385.83200000413,2264.1320000309497,5156.636857143005,28
aten::empty_like,5364.270999962464,1606.3119999282062,16.060691616654083,334
aten::empty_strided,11219.786999909207,11219.786999909207,6.5612789473153255,1710
aten::bernoulli_,87436.17699998431,87015.83699997887,3122.7206071422966,28
aten::div_,18912.424000002444,16041.789000002667,675.4437142858015,28
aten::_to_copy,7923850.657,15768.224000127986,5383.050718070652,1472
aten::copy_,8047874.678000007,8047874.678000007,4883.41910072816,1648
aten::mul,112813.18400000781,111612.55700000562,1084.742153846229,104
aten::eq,62.85399999842048,62.85399999842048,31.42699999921024,2
aten::all,35561.60200000182,35357.80900000036,2540.1144285715586,14
aten::fill_,133083.02999999188,133083.02999999188,739.3501666666216,180
aten::is_nonzero,22.127000000327826,8.312000000849366,11.063500000163913,2
aten::linear,22041437.879000004,7861.063000002876,145009.4597302632,152
aten::t,8795.001000029966,3894.4410000238568,23.144739473763067,380
aten::transpose,7713.050000008196,5410.995000045747,14.074908759139044,548
aten::addmm,7130617.556000002,7079566.619000025,93823.91521052633,76
aten::expand,1298.153999997303,1026.7620000038296,10.46898387094599,124
aten::scaled_dot_product_attention,431336.69900001027,10041.97100000456,35944.724916667525,12
aten::_scaled_dot_product_attention_math,421294.7280000057,1551.2030000127852,35107.89400000047,12
aten::matmul,165991.95499998704,1293.3970000166446,6916.331458332793,24
aten::clone,100805.76399999112,1438.0939999874681,1050.060041666574,96
aten::_unsafe_view,2042.2250000145286,2042.2250000145286,18.909490740875267,108
aten::bmm,218340.52799998224,218265.81499999017,3032.5073333330865,72
aten::_safe_softmax,95285.39100000076,1042.3750000130385,7940.449250000063,12
aten::softmax,40426.37499999814,2150.7829999942333,3368.864583333178,12
aten::_softmax,38275.592000003904,38275.592000003904,3189.632666666992,12
aten::isneginf,21338.50399999693,21338.50399999693,1778.2086666664109,12
aten::where,11915.167999999598,11915.167999999598,992.9306666666331,12
aten::contiguous,3962.1859999950975,56.29499998874962,330.1821666662581,12
aten::gelu,101796.4970000051,101796.4970000051,8483.04141666709,12
aten::relu,98.23800000175834,40.30800000205636,49.11900000087917,2
aten::clamp_min,57.92999999970198,57.92999999970198,28.96499999985099,2
aten::cross_entropy_loss,3436.285000000149,1728.2410000041127,1718.1425000000745,2
aten::log_softmax,95.26299999654293,25.297999996691942,47.631499998271465,2
aten::_log_softmax,68.08799999952316,68.08799999952316,34.04399999976158,2
aten::nll_loss_nd,1612.7809999994934,655.6840000003576,806.3904999997467,2
aten::nll_loss,957.0969999991357,912.0169999971986,478.54849999956787,2
aten::nll_loss_forward,45.08000000193715,45.08000000193715,22.540000000968575,2
aten::ones_like,66.21700000017881,12.40600000321865,33.10850000008941,2
autograd::engine::evaluate_function: NllLossBackward0,3222.129999998957,29.289000000804663,1611.0649999994785,2
NllLossBackward0,3192.8409999981523,1559.2619999982417,1596.4204999990761,2
aten::nll_loss_backward,1633.5789999999106,1630.8709999993443,816.7894999999553,2
aten::zero_,132986.2579999976,634.9359999969602,545.0256475409738,244
autograd::engine::evaluate_function: LogSoftmaxBackward0,1713.8740000016987,31.828000001609325,856.9370000008494,2
LogSoftmaxBackward0,1682.0460000000894,21.462999999523163,841.0230000000447,2
aten::_log_softmax_backward_data,1660.5830000005662,1660.5830000005662,830.2915000002831,2
autograd::engine::evaluate_function: ToCopyBackward0,107681.22199999541,3265.1419999562204,427.3064365079183,252
ToCopyBackward0,76961.97000005469,1348.5350000448525,305.4046428573599,252
