epoch,batch_idx,memory_cpu_mb,memory_gpu_mb,loss
0,0,1094.5703125,1056.74560546875,0.6860482692718506
0,1,1095.0703125,1057.99560546875,0.6960064768791199
0,2,1095.0703125,1057.99560546875,0.7306395173072815
0,3,1095.1953125,1057.99560546875,0.676476001739502
0,4,1095.1953125,1057.99560546875,0.6730534434318542
0,5,1095.1953125,1057.99560546875,0.750124454498291
0,6,1095.3203125,1057.99560546875,0.8432673215866089
0,7,1095.4453125,1057.99560546875,0.6740893125534058
0,8,1095.4453125,1057.99560546875,0.6842941045761108
0,9,1095.4453125,1057.99560546875,0.7128170728683472
0,10,1099.48046875,1057.99560546875,0.7127605080604553
0,11,1099.48046875,1057.99560546875,0.663398027420044
0,12,1099.48046875,1057.99560546875,0.7055346965789795
0,13,1099.48046875,1057.99560546875,0.6624893546104431
0,14,1099.48046875,1057.99560546875,0.7102459669113159
0,15,1099.48046875,1057.99560546875,0.6662693023681641
