epoch,batch_idx,memory_cpu_mb,memory_gpu_mb,loss
0,0,1193.83984375,787.1279296875,0.709281325340271
0,1,1194.46484375,787.1279296875,0.7100900411605835
0,2,1206.71484375,787.1279296875,0.7270393371582031
0,3,1206.71484375,787.1279296875,0.6914523839950562
0,4,1206.71484375,787.1279296875,0.702305257320404
0,5,1206.71484375,787.1279296875,0.7324988842010498
0,6,1206.71484375,787.1279296875,0.6919258236885071
0,7,1206.71484375,787.1279296875,0.7027027606964111
0,8,1206.71484375,787.1279296875,0.6880903244018555
0,9,1206.71484375,787.1279296875,0.7032499313354492
0,10,1206.71484375,787.1279296875,0.6889143586158752
0,11,1206.71484375,787.1279296875,0.6920756101608276
0,12,1206.71484375,787.1279296875,0.6868372559547424
0,13,1206.71484375,787.1279296875,0.665184736251831
0,14,1206.71484375,787.1279296875,0.6623960733413696
0,15,1206.71484375,787.1279296875,0.7354889512062073
