epoch,batch_idx,memory_cpu_mb,loss
0,0,2020.20703125,0.6777337193489075
0,1,2377.8828125,0.7762638330459595
0,2,2550.6171875,0.6769160628318787
0,3,2598.625,0.7219493389129639
0,4,2618.01171875,0.7235747575759888
0,5,2630.015625,0.7034408450126648
0,6,2630.12890625,0.7535675764083862
0,7,2634.625,0.6902590394020081
0,8,2667.625,0.6562594175338745
0,9,2667.66796875,0.6829208135604858
0,10,2667.66796875,0.728943943977356
0,11,2667.671875,0.7039003372192383
0,12,2667.671875,0.7083768844604492
0,13,2667.67578125,0.6803235411643982
0,14,2642.30078125,0.692323625087738
0,15,2648.17578125,0.641806423664093
