epoch,batch_idx,memory_cpu_mb,loss
0,0,2120.75390625,0.6941869258880615
0,1,2530.39453125,0.7075488567352295
0,2,2770.4453125,0.6554322838783264
0,3,2863.29296875,0.7288193106651306
0,4,2863.29296875,0.7350884079933167
0,5,2863.29296875,0.6917794346809387
0,6,2863.49609375,0.6937741637229919
0,7,2835.12109375,0.7083840370178223
0,8,2847.1015625,0.7046910524368286
0,9,2847.1015625,0.6511861085891724
0,10,2847.15234375,0.7113211154937744
0,11,2814.27734375,0.6964017748832703
0,12,2835.0546875,0.6353551745414734
0,13,2849.97265625,0.6830940842628479
0,14,2850.078125,0.6792280673980713
0,15,2825.84375,0.7660911083221436
