epoch,batch_idx,memory_cpu_mb,loss
0,0,2177.33203125,0.7116850018501282
0,1,2575.5546875,0.7096831202507019
0,2,2777.45703125,0.6876422166824341
0,3,2885.53125,0.7149157524108887
0,4,2898.91796875,0.6970179677009583
0,5,2907.9765625,0.7144532203674316
0,6,2907.9765625,0.6967354416847229
0,7,2907.9765625,0.7040866017341614
0,8,2907.9765625,0.6799336671829224
0,9,2873.640625,0.6819997429847717
0,10,2908.015625,0.6990829706192017
0,11,2908.015625,0.6824641227722168
0,12,2908.015625,0.716756284236908
0,13,2908.015625,0.6919639110565186
0,14,2891.82421875,0.6835695505142212
0,15,2893.42578125,0.693550169467926
