epoch,batch_idx,memory_cpu_mb,memory_gpu_mb,loss
0,0,1197.48046875,1056.24658203125,0.6858214735984802
0,1,1197.98046875,1048.24658203125,0.6971244215965271
0,2,1210.10546875,1048.24658203125,0.7763894200325012
0,3,1210.10546875,1048.24658203125,0.6982813477516174
0,4,1210.10546875,1048.24658203125,0.7008178234100342
0,5,1210.10546875,1048.24658203125,0.6842906475067139
0,6,1210.10546875,1048.24658203125,0.7086854577064514
0,7,1210.10546875,1048.24658203125,0.6975463628768921
0,8,1210.10546875,1048.24658203125,0.6988717913627625
0,9,1210.10546875,1048.24658203125,0.733635663986206
0,10,1210.10546875,1048.24658203125,0.6880249381065369
0,11,1210.10546875,1048.24658203125,0.7089182734489441
0,12,1210.10546875,1048.24658203125,0.7081498503684998
0,13,1210.10546875,1048.24658203125,0.7197552919387817
0,14,1210.10546875,1048.24658203125,0.6842759251594543
0,15,1210.10546875,1048.24658203125,0.6983552575111389
