batch_idx,memory_cpu_mb,memory_gpu0_mb,memory_gpu1_mb,local_batch_size,global_batch_size,num_processes
0,1869.1015625,310.97216796875,0.0,16,32,2
1,1890.6328125,310.97216796875,0.0,16,32,2
2,2331.43359375,310.97216796875,0.0,16,32,2
3,2331.43359375,310.97216796875,0.0,16,32,2
4,2331.43359375,310.97216796875,0.0,16,32,2
5,2331.43359375,310.97216796875,0.0,16,32,2
6,2331.43359375,310.97216796875,0.0,16,32,2
7,2331.43359375,310.97216796875,0.0,16,32,2
