batch_idx,memory_cpu_mb,memory_gpu0_mb,memory_gpu1_mb,local_batch_size,global_batch_size,num_processes
0,2105.296875,310.13623046875,0.0,16,32,2
1,2136.14453125,310.13623046875,0.0,16,32,2
2,2776.66015625,310.13623046875,0.0,16,32,2
3,2776.66015625,310.13623046875,0.0,16,32,2
4,2776.66015625,310.13623046875,0.0,16,32,2
5,2776.66015625,310.13623046875,0.0,16,32,2
6,2776.66015625,310.13623046875,0.0,16,32,2
7,2776.66015625,310.13623046875,0.0,16,32,2
