kernel,cpu_time_total_us,self_cpu_time_total_us,cuda_time_total_us,self_cuda_time_total_us,calls
cudaMalloc,1744.984999999986,1744.984999999986,0,0,7
"void at::native::elementwise_kernel<128, 4, at::native::gpu_kernel_impl<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int)#1})",0,0,13232.67800000016,13232.67800000016,18
aten::linear,519786.40499999607,38927.858999997436,383772.46499999694,0.0,3640
aten::t,15532.036000002641,6684.247000002157,0,0,1908
aten::transpose,22884.163000005035,16670.56200000507,0,0,4980
"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1})",0,0,31815.025999999896,31815.025999999896,62
aten::addmm,112853.12399999844,80051.99899999957,221551.5779999994,211126.5479999993,1552
cudaOccupancyMaxActiveBlocksPerMultiprocessor,676.2209999997576,296.20799999972223,10806.083000000042,0.0,113
"void at::native::(anonymous namespace)::vectorized_layer_norm_kernel<float, float>(int, float, float const*, float const*, float const*, float*, float*, float*)",0,0,20707.28300000273,20707.28300000273,712
aten::matmul,21753.956000000617,3662.243999999424,42040.6769999995,0.0,292
aten::mm,16724.914999999746,13521.950999999157,42040.6769999995,41055.32499999943,292
aten::_unsafe_view,730.5629999991215,730.5629999991215,0,0,292
turing_fp16_s1688gemm_fp16_128x128_ldg8_relu_f2f_tn,0,0,34253.504999999626,34253.504999999626,56
"void at::native::elementwise_kernel<128, 4, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#10}::operator()() const::{lambda(c10::Half)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#10}::operator()() const::{lambda(c10::Half)#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#10}::operator()() const::{lambda(c10::Half)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#10}::operator()() const::{lambda(c10::Half)#1} const&)::{lambda(int)#1})",0,0,15163.83299999847,15163.83299999847,88
turing_fp16_s1688gemm_fp16_128x128_ldg8_f2f_tn,0,0,8553.40200000041,8553.40200000041,24
aten::scaled_dot_product_attention,39623.54700000092,6823.949999999575,328696.3319999997,0.0,432
aten::_scaled_dot_product_efficient_attention,32799.59700000135,5804.7809999998135,328696.3319999997,0.0,432
aten::_efficient_attention_forward,20559.959999998566,8615.402999996557,328696.3319999997,328696.3319999997,432
"fmha_cutlassF_f16_aligned_64x64_rf_sm75(PyTorchMemEffAttention::AttentionKernel<cutlass::half_t, cutlass::arch::Sm75, true, 64, 64, 64, true, true>::Params)",0,0,87276.88499999969,87276.88499999969,424
aten::embedding,3570.8950000000477,517.1830000011541,485.6529999995837,0.0,52
aten::index_select,2840.241999999649,1123.1559999997844,485.6529999995837,480.8209999995306,52
aten::resize_,1373.5930000025255,1373.5930000025255,0,0,420
aten::arange,9396.041000001278,2479.6210000005667,650.2119999997085,325.10599999985425,304
aten::repeat,3909.21900000007,819.2080000005953,95.7449999997043,0.0,52
aten::expand,409.8910000017204,307.88600000125007,0,0,108
aten::alias,90.01500000039232,90.01500000039232,0,0,52
aten::unfold,416.9560000000347,332.30299999934505,0,0,104
aten::expand_as,297.69299999956274,119.19899999842164,0,0,52
aten::index,6406.449999999662,4286.7799999999115,777.0039999987057,777.0039999987057,184
cudaDeviceGetAttribute,1693.9320000020962,1693.9320000020962,0,0,2013
cudaMemsetAsync,5707.518000003154,5707.518000003154,0,0,2444
cuLaunchKernel,13451.418000001373,13451.418000001373,0,0,1708
aten::select,4429.146999997931,3756.7249999971245,0,0,832
aten::ones_like,203.80699999988428,31.95099999968079,10.208000000042375,0.0,4
aten::lift_fresh,7.506000000605127,7.506000000605127,0,0,22
"void at::native::(anonymous namespace)::indexSelectSmallIndex<float, long, unsigned int, 2, 2, -2>(at::cuda::detail::TensorInfo<float, unsigned int>, at::cuda::detail::TensorInfo<float const, unsigned int>, at::cuda::detail::TensorInfo<long const, unsigned int>, int, int, unsigned int, long)",0,0,470.9969999996247,470.9969999996247,50
