kernel,cpu_time_total_us,self_cpu_time_total_us,cuda_time_total_us,self_cuda_time_total_us,calls,batch_size
ProfilerStep*,1296599.9730000002,360818.82299999625,479033.578000009,0.0,2,16
aten::empty,41663.534000008316,41363.09700000831,0,0,6773,16
aten::random_,19.24200000000019,19.24200000000019,0,0,1,16
aten::item,147275.6800000013,939.2130000007792,454.93800000168267,0.0,439,16
aten::_local_scalar_dense,146336.46700000053,2155.5030000020906,454.93800000168267,454.93800000168267,439,16
enumerate(DataLoader)#_MultiProcessingDataLoaderIter.__next__,62684.63500000004,43904.157000000036,7.006999999997788,0.0,2,16
cudaPointerGetAttributes,46.899999999965075,46.899999999965075,3.583999999988009,3.583999999988009,6,16
cudaHostAlloc,41328.89699999998,41322.44899999998,321.9750000000058,321.9750000000058,5,16
aten::to,185131.98799999483,4092.9679999937216,29192.22100000095,0.0,1988,16
aten::_to_copy,181039.0200000011,12862.853999994288,29192.22100000095,0.0,1692,16
aten::empty_strided,13711.867999999362,13711.867999999362,0,0,1860,16
aten::copy_,168978.02400000574,22049.05000000444,81267.2700000001,81263.78200000012,2364,16
cudaMemcpyAsync,10322.356000000786,10322.356000000786,0,0,926,16
ProfilerStep*,0,0,1177487.1030000001,1177487.1030000001,2,16
Memcpy HtoD (Pinned -> Device),0,0,2526.10800000008,2526.10800000008,2,16
aten::slice,4656.2570000023115,3795.8600000021834,0,0,710,16
aten::as_strided,8330.594000001249,8330.594000001249,0,0,7446,16
aten::ones,8234.770000000062,225.62100000024657,20.960000000006403,0.0,10,16
aten::fill_,12056.276000000275,-5329.752999999793,485.0830000014248,485.0830000014248,290,16
cudaLaunchKernel,134339.7680000136,81490.72100001379,270.71099999995204,0.0,8012,16
"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<long>, std::array<char*, 1ul> >(int, at::native::FillFunctor<long>, std::array<char*, 1ul>)",0,0,51.263000000370084,51.263000000370084,28,16
aten::mul,3363.2530000004917,1742.9369999994087,277.40100000008533,273.78500000004715,140,16
"void at::native::vectorized_elementwise_kernel<4, at::native::AUnaryFunctor<long, long, long, at::native::binary_internal::MulFunctor<long> >, std::array<char*, 2ul> >(int, at::native::AUnaryFunctor<long, long, long, at::native::binary_internal::MulFunctor<long> >, std::array<char*, 2ul>)",0,0,5.758999999976368,5.758999999976368,2,16
aten::conv1d,61332.60300000012,230.58800000019255,33811.140000000116,0.0,14,16
"void at::native::vectorized_elementwise_kernel<4, at::native::float16_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::float16_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(float)#1}, std::array<char*, 2ul>)",0,0,25024.14400000022,25024.14400000022,1434,16
aten::convolution,30266.224999999904,85.01399999995192,18818.06200000002,0.0,8,16
aten::_convolution,30181.210999999952,253.09900000000198,18818.06200000002,0.0,8,16
aten::unsqueeze,1187.4300000006479,922.8139999999694,0,0,222,16
aten::cudnn_convolution,29498.006999999867,-95.36400000017602,15429.671999999977,12228.506000000008,8,16
cudaEventRecord,58.73399999992398,58.73399999992398,0,0,9,16
cudaStreamIsCapturing,706.6059999997524,706.6059999997524,0,0,448,16
cudaStreamGetPriority,8.814000000056694,8.814000000056694,0,0,8,16
cudaDeviceGetStreamPriorityRange,7.615999999965425,7.615999999965425,0,0,8,16
cudaPeekAtLastError,254.9860000021581,254.9860000021581,0,0,2096,16
cudaMalloc,1624.0000000001019,1624.0000000001019,0,0,8,16
"void cudnn::engines_precompiled::nchwToNhwcKernel<__half, __half, float, false, true, (cudnnKernelDataType_t)0>(cudnn::engines_precompiled::nchw2nhwc_params_t<float>, __half const*, __half*)",0,0,2171.237999999852,2171.237999999852,16,16
cudaLaunchKernelExC,6118.66199999988,187.12699999989127,2882.6139999999723,0.0,8,16
Unrecognized,59506.184999999794,59506.184999999794,4418.954999999929,4418.954999999929,23,16
sm75_xmma_fprop_implicit_gemm_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize256x64x32_stage1_warpsize4x1x1_g1_tensor16x8x8_execute_kernel__5x_cudnn,0,0,3005.744000000006,3005.744000000006,4,16
"void cudnn::engines_precompiled::nhwcToNchwKernel<__half, __half, float, true, false, (cudnnKernelDataType_t)0>(cudnn::engines_precompiled::nhwc2nchw_params_t<float>, __half const*, __half*)",0,0,2512.50900000002,2512.50900000002,8,16
aten::reshape,10723.836000000127,5336.991000001377,0,0,2522,16
aten::view,12738.274999991816,12738.274999991816,0,0,6656,16
aten::add_,674.222000000038,581.2700000001059,3388.390000000043,3388.390000000043,72,16
aten::squeeze,49.49399999991874,39.92599999986123,0,0,8,16
"void at::native::elementwise_kernel<128, 4, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<c10::Half> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<c10::Half> const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<c10::Half> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<c10::Half> const&)::{lambda(int)#1})",0,0,3388.390000000043,3388.390000000043,8,16
aten::gelu,6210.087000000116,3868.183999999339,12281.342000000528,12281.342000000528,232,16
"void at::native::vectorized_elementwise_kernel<4, at::native::GeluCUDAKernelImpl(at::TensorIteratorBase&, at::native::GeluType)::{lambda()#2}::operator()() const::{lambda()#3}::operator()() const::{lambda(c10::Half)#1}, std::array<char*, 2ul> >(int, at::native::GeluCUDAKernelImpl(at::TensorIteratorBase&, at::native::GeluType)::{lambda()#2}::operator()() const::{lambda()#3}::operator()() const::{lambda(c10::Half)#1}, std::array<char*, 2ul>)",0,0,12281.342000000528,12281.342000000528,232,16
aten::permute,62.153000000020256,55.81200000006356,0,0,4,16
aten::add,22465.597000000038,14464.719999999565,33244.03500000088,33244.03500000088,876,16
sm75_xmma_fprop_implicit_gemm_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x128x32_stage1_warpsize2x2x1_g1_tensor16x8x8_execute_kernel__5x_cudnn,0,0,4539.01500000013,4539.01500000013,4,16
aten::dropout,860.2719999987166,860.2719999987166,0,0,936,16
aten::layer_norm,46554.29300000201,5475.824000003253,50050.58299999937,0.0,712,16
aten::native_layer_norm,41078.46899999876,17741.39199999429,50050.58299999937,23703.160999999294,712,16
aten::contiguous,6028.448999999848,293.92900000003283,49760.49199999953,0.0,148,16
aten::clone,10228.586000000854,1447.1680000011693,51243.42399999921,0.0,262,16
aten::empty_like,3454.64600000091,1244.422000001563,0,0,304,16
aten::linear,372280.1510000013,29972.659000005515,240898.0150000077,0.0,3072,16
aten::t,14297.720999996032,5626.611999995017,0,0,1908,16
aten::transpose,22760.28000000029,16988.69899999714,0,0,4980,16
aten::addmm,129440.3070000034,74330.496000001,82564.91200000411,82430.5490000041,1552,16
cudaOccupancyMaxActiveBlocksPerMultiprocessor,548.4959999993735,300.7829999993555,491.89100000000326,0.0,141,16
aten::matmul,23935.050000000047,2876.584999998653,35192.10599999942,0.0,292,16
aten::mm,19121.43999999948,15982.622000001807,35192.10599999942,33976.905999999406,292,16
aten::_unsafe_view,621.6440000008733,621.6440000008733,0,0,292,16
"void at::native::elementwise_kernel<128, 4, at::native::gpu_kernel_impl<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int)#1})",0,0,28728.735999999684,28728.735999999684,36,16
"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1})",0,0,26413.37200000009,26413.37200000009,38,16
aten::scaled_dot_product_attention,39086.903000000515,6704.364999998914,160662.71400000117,0.0,432,16
aten::_scaled_dot_product_efficient_attention,32382.5380000016,5283.0080000024755,160662.71400000117,0.0,432,16
aten::_efficient_attention_forward,20239.722000000038,8667.515999994968,160662.71400000117,160662.71400000117,432,16
"void at::native::(anonymous namespace)::vectorized_layer_norm_kernel<float, float>(int, float, float const*, float const*, float const*, float*, float*, float*)",0,0,23703.160999999294,23703.160999999294,712,16
turing_fp16_s1688gemm_fp16_128x128_ldg8_relu_f2f_tn,0,0,70021.80999999936,70021.80999999936,96,16
"void at::native::elementwise_kernel<128, 4, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#10}::operator()() const::{lambda(c10::Half)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#10}::operator()() const::{lambda(c10::Half)#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#10}::operator()() const::{lambda(c10::Half)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#10}::operator()() const::{lambda(c10::Half)#1} const&)::{lambda(int)#1})",0,0,23413.069999999454,23413.069999999454,112,16
turing_fp16_s1688gemm_fp16_128x128_ldg8_f2f_tn,0,0,12771.151000000042,12771.151000000042,32,16
"fmha_cutlassF_f16_aligned_64x64_rf_sm75(PyTorchMemEffAttention::AttentionKernel<cutlass::half_t, cutlass::arch::Sm75, true, 64, 64, 64, true, true>::Params)",0,0,160662.71400000117,160662.71400000117,432,16
aten::embedding,3627.166999999521,516.5469999997003,670.8950000001059,0.0,52,16
aten::index_select,2893.5029999989783,1070.0519999989483,670.8950000001059,665.3910000001488,52,16
aten::resize_,1446.104999999865,1446.104999999865,0,0,420,16
aten::arange,8977.075000001147,2230.6370000007737,926.2539999978617,463.12699999893084,304,16
aten::repeat,3571.6249999999127,809.1500000017695,130.90999999991618,0.0,52,16
aten::expand,410.5789999991248,288.27399999811314,0,0,108,16
aten::alias,97.84000000031665,97.84000000031665,0,0,52,16
aten::unfold,480.4969999996829,393.79999999984284,0,0,104,16
aten::expand_as,242.30799999975716,85.77699999971082,0,0,52,16
aten::index,6560.103000001196,4266.82000000024,1064.7470000000321,1064.7470000000321,184,16
cudaDeviceGetAttribute,1566.891999998741,1566.891999998741,0,0,2015,16
cudaMemsetAsync,5885.136999998038,5885.136999998038,0,0,2440,16
cuLaunchKernel,14738.590000000666,14738.590000000666,0,0,1708,16
aten::select,4421.2530000035185,3730.4920000059938,0,0,800,16
aten::ones_like,186.37099999998463,19.089999999967404,10.272000000142725,0.0,4,16
aten::lift_fresh,7.168999999907101,7.168999999907101,0,0,22,16
cudaStreamSynchronize,266631.47599999874,266631.47599999874,0,0,504,16
"void at::native::(anonymous namespace)::indexSelectSmallIndex<float, long, unsigned int, 2, 2, -2>(at::cuda::detail::TensorInfo<float, unsigned int>, at::cuda::detail::TensorInfo<float const, unsigned int>, at::cuda::detail::TensorInfo<long const, unsigned int>, int, int, unsigned int, long)",0,0,654.255000000092,654.255000000092,50,16
