kernel,cpu_time_total_us,self_cpu_time_total_us,cuda_time_total_us,self_cuda_time_total_us,calls,compile_applied
aten::contiguous,7242.883999999729,343.2679999994871,50256.3689999998,0.0,148,True
aten::clone,11313.800000001123,1579.5240000014019,51712.203000000474,0.0,262,True
aten::empty_like,3688.809999999794,1238.7539999991131,0,0,304,True
aten::linear,389999.8740000031,31273.11300000755,229874.44100000052,0.0,3072,True
aten::t,14632.937000000878,5638.331000003964,0,0,1908,True
aten::transpose,23502.708999995142,17478.357999992702,0,0,4980,True
aten::addmm,134803.0750000002,75898.4770000019,81680.84400000016,81527.44300000032,1552,True
cudaOccupancyMaxActiveBlocksPerMultiprocessor,703.1230000003125,431.1170000002894,495.66700000001583,0.0,141,True
"void at::native::elementwise_kernel<128, 4, at::native::gpu_kernel_impl<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int)#1})",0,0,29187.834999999643,29187.834999999643,36,True
aten::matmul,25206.3669999977,2956.472000002861,30823.334000000294,0.0,292,True
aten::mm,20275.743999996717,16732.80399999657,30823.334000000294,29894.399000000296,292,True
aten::_unsafe_view,673.3079999998736,673.3079999998736,0,0,292,True
"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1})",0,0,27088.40200000012,27088.40200000012,38,True
"void at::native::(anonymous namespace)::vectorized_layer_norm_kernel<float, float>(int, float, float const*, float const*, float const*, float*, float*, float*)",0,0,23377.520000003307,23377.520000003307,712,True
aten::scaled_dot_product_attention,39962.20900000195,6973.704000002006,152097.2509999982,0.0,432,True
aten::_scaled_dot_product_efficient_attention,32988.50499999995,5441.568999999203,152097.2509999982,0.0,432,True
aten::_efficient_attention_forward,20601.933000002085,8755.159999999829,152097.2509999982,152097.2509999982,432,True
turing_fp16_s1688gemm_fp16_128x128_ldg8_relu_f2f_tn,0,0,71124.54599999971,71124.54599999971,96,True
"void at::native::elementwise_kernel<128, 4, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#10}::operator()() const::{lambda(c10::Half)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#10}::operator()() const::{lambda(c10::Half)#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#10}::operator()() const::{lambda(c10::Half)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#10}::operator()() const::{lambda(c10::Half)#1} const&)::{lambda(int)#1})",0,0,23231.996999999712,23231.996999999712,112,True
turing_fp16_s1688gemm_fp16_128x128_ldg8_f2f_tn,0,0,12747.852999999974,12747.852999999974,32,True
"fmha_cutlassF_f16_aligned_64x64_rf_sm75(PyTorchMemEffAttention::AttentionKernel<cutlass::half_t, cutlass::arch::Sm75, true, 64, 64, 64, true, true>::Params)",0,0,152097.2509999982,152097.2509999982,432,True
